Description,"Abundance Ratio: (Control, TatCN) / (Control, None)","Abundance Ratio: (Control, TatCN) / (Control, Vehicle)","Abundance Ratio: (EtOH, Vehicle) / (Control, Vehicle)","Abundance Ratio: (EtOH, TatCN) / (EtOH, None)","Abundance Ratio: (EtOH, Vehicle) / (EtOH, None)","Abundance Ratio: (EtOH, TatCN) / (EtOH, Vehicle)"
Mitochondrial import receptor subunit TOM70 OS=Rattus norvegicus OX=10116 GN=Tomm70 PE=1 SV=1,1.362,1.742,0.048,1.197,0.063,31.996
UV excision repair protein RAD23 homolog B OS=Rattus norvegicus OX=10116 GN=Rad23b PE=1 SV=1,5.464,6.697,1,0.567,1,1
Sodium- and chloride-dependent GABA transporter 3 OS=Rattus norvegicus OX=10116 GN=Slc6a11 PE=1 SV=1,0.713,0.629,0.684,11.007,7.145,0.906
Rho family-interacting cell polarization regulator 2 OS=Rattus norvegicus OX=10116 GN=Ripor2 PE=1 SV=1,1.406,1.242,1.371,2.978,3.483,0.94
Large ribosomal subunit protein uL13 OS=Rattus norvegicus OX=10116 GN=Rpl13a PE=1 SV=2,0.477,6.181,1,0.748,0.139,7.293
Nucleolin OS=Rattus norvegicus OX=10116 GN=Ncl PE=1 SV=3,0.084,1,1,0.515,1,1
Xaa-Pro dipeptidase OS=Rattus norvegicus OX=10116 GN=Pepd PE=2 SV=1,0.01,0.01,1,,100,0.01
ADP-ribosylation factor GTPase-activating protein 1 OS=Rattus norvegicus OX=10116 GN=Arfgap1 PE=1 SV=1,1.015,0.711,0.917,0.854,1.281,0.733
Gelsolin OS=Rattus norvegicus OX=10116 GN=Gsn PE=1 SV=1,1.281,0.776,0.195,1.357,0.206,6.296
Transcriptional regulator protein Pur-beta OS=Rattus norvegicus OX=10116 GN=Purb PE=1 SV=3,0.451,0.793,0.159,0.798,0.177,7.286
MICOS complex subunit Mic60 (Fragment) OS=Rattus norvegicus OX=10116 GN=Immt PE=1 SV=1,0.01,0.01,1,,1,1
Large ribosomal subunit protein uL16 OS=Rattus norvegicus OX=10116 GN=Rpl10 PE=1 SV=3,1,1,1,0.069,0.157,1
Small ribosomal subunit protein uS3 OS=Rattus norvegicus OX=10116 GN=Rps3 PE=1 SV=1,1,0.096,0.01,,,
26S proteasome regulatory subunit 6A OS=Rattus norvegicus OX=10116 GN=Psmc3 PE=1 SV=1,,,,,,
Neuronal pentraxin receptor OS=Rattus norvegicus OX=10116 GN=Nptxr PE=1 SV=1,0.972,0.843,0.85,0.429,7.59,0.086
Omega-amidase NIT2 OS=Rattus norvegicus OX=10116 GN=Nit2 PE=1 SV=1,,,,,,
Protein kinase C beta type OS=Rattus norvegicus OX=10116 GN=Prkcb PE=1 SV=3,0.081,0.126,0.053,0.731,0.051,9.212
Sodium- and chloride-dependent GABA transporter 1 OS=Rattus norvegicus OX=10116 GN=Slc6a1 PE=1 SV=1,4.228,100,100,0.494,0.052,10.213
Neuronal pentraxin-1 OS=Rattus norvegicus OX=10116 GN=Nptx1 PE=1 SV=1,5.199,7.909,1,0.474,1,1
Myosin-10 OS=Rattus norvegicus OX=10116 GN=Myh10 PE=1 SV=1,0.01,0.01,0.01,,,
Fibrinogen gamma chain OS=Rattus norvegicus OX=10116 GN=Fgg PE=1 SV=3,100,100,100,100,100,0.341
Guanine nucleotide-binding protein G(s) subunit alpha isoforms XLas OS=Rattus norvegicus OX=10116 GN=Gnas PE=1 SV=3,0.01,,,0.01,0.01,
Inactive dipeptidyl peptidase 10 OS=Rattus norvegicus OX=10116 GN=Dpp10 PE=1 SV=1,0.01,0.01,0.01,0.01,0.01,
Glutamate decarboxylase 2 OS=Rattus norvegicus OX=10116 GN=Gad2 PE=1 SV=1,5.622,7.836,1,0.236,1,1
Vesicular inhibitory amino acid transporter OS=Rattus norvegicus OX=10116 GN=Slc32a1 PE=1 SV=1,0.7,2.399,0.169,1,1,0.678
26S proteasome regulatory subunit 8 OS=Rattus norvegicus OX=10116 GN=Psmc5 PE=1 SV=1,0.344,100,,0.01,0.01,
"Isocitrate dehydrogenase [NADP], mitochondrial OS=Rattus norvegicus OX=10116 GN=Idh2 PE=1 SV=2",0.443,0.637,1.265,0.049,2.252,0.044
Nucleophosmin OS=Rattus norvegicus OX=10116 GN=Npm1 PE=1 SV=1,0.992,0.644,0.896,0.726,0.766,0.948
Synaptoporin OS=Rattus norvegicus OX=10116 GN=Synpr PE=1 SV=2,0.042,0.294,1,0.01,1,0.01
Copine-1 OS=Rattus norvegicus OX=10116 GN=Cpne1 PE=1 SV=1,0.01,,,0.01,0.01,
Serine/threonine-protein kinase PAK 3 OS=Rattus norvegicus OX=10116 GN=Pak3 PE=1 SV=1,0.508,0.215,0.814,1.077,3.151,0.342
"D-beta-hydroxybutyrate dehydrogenase, mitochondrial OS=Rattus norvegicus OX=10116 GN=Bdh1 PE=1 SV=2",0.082,1,0.01,0.88,0.01,100
Metabotropic glutamate receptor 2 OS=Rattus norvegicus OX=10116 GN=Grm2 PE=1 SV=1,0.01,,,0.01,0.01,
ELAV-like protein 4 OS=Rattus norvegicus OX=10116 GN=Elavl4 PE=1 SV=2,,,,,,
Small ribosomal subunit protein RACK1 OS=Rattus norvegicus OX=10116 GN=Rack1 PE=1 SV=3,0.01,,100,0.01,1,0.01
Glutathione reductase (Fragment) OS=Rattus norvegicus OX=10116 GN=Gsr PE=2 SV=2,0.795,0.337,0.075,0.01,0.12,0.01
Annexin A6 OS=Rattus norvegicus OX=10116 GN=Anxa6 PE=1 SV=2,0.316,100,100,0.01,1,0.01
NADP-dependent malic enzyme OS=Rattus norvegicus OX=10116 GN=Me1 PE=1 SV=2,,,,,,
Glutathione S-transferase LANCL1 OS=Rattus norvegicus OX=10116 GN=Lancl1 PE=1 SV=2,,,,,,
Large neutral amino acids transporter small subunit 1 OS=Rattus norvegicus OX=10116 GN=Slc7a5 PE=1 SV=2,5.314,6.059,1,0.01,1,0.01
Ezrin OS=Rattus norvegicus OX=10116 GN=Ezr PE=1 SV=3,6.463,6.807,1,1.446,0.219,7.283
Kynurenine--oxoglutarate transaminase 3 OS=Rattus norvegicus OX=10116 GN=Kyat3 PE=2 SV=1,,,,,,
Leukocyte surface antigen CD47 OS=Rattus norvegicus OX=10116 GN=Cd47 PE=1 SV=1,0.477,0.883,1.331,0.589,1.1,0.535
Nucleosome assembly protein 1-like 1 OS=Rattus norvegicus OX=10116 GN=Nap1l1 PE=1 SV=1,0.01,,,2.274,0.01,100
26S proteasome non-ATPase regulatory subunit 2 OS=Rattus norvegicus OX=10116 GN=Psmd2 PE=1 SV=1,0.054,0.41,1,0.24,1,1
Carboxypeptidase E OS=Rattus norvegicus OX=10116 GN=Cpe PE=1 SV=1,,,,,,
Regulator of G-protein signaling 7 OS=Rattus norvegicus OX=10116 GN=Rgs7 PE=1 SV=2,,,,,,
Sodium-driven chloride bicarbonate exchanger OS=Rattus norvegicus OX=10116 GN=Slc4a10 PE=1 SV=1,0.01,0.01,0.01,0.01,0.01,
Hypoxia up-regulated protein 1 OS=Rattus norvegicus OX=10116 GN=Hyou1 PE=1 SV=1,,,,,,
Eukaryotic initiation factor 4A-II OS=Rattus norvegicus OX=10116 GN=Eif4a2 PE=1 SV=1,0.101,1,1,0.957,0.153,8.531
Cell cycle control protein 50A OS=Rattus norvegicus OX=10116 GN=Tmem30a PE=1 SV=1,0.461,1.133,0.555,0.573,0.236,2.43
Brain-specific angiogenesis inhibitor 1-associated protein 2 OS=Rattus norvegicus OX=10116 GN=Baiap2 PE=1 SV=1,,,,,,
Lactadherin OS=Rattus norvegicus OX=10116 GN=Mfge8 PE=2 SV=1,0.696,0.923,1.033,0.636,0.872,0.73
Thimet oligopeptidase OS=Rattus norvegicus OX=10116 GN=Thop1 PE=1 SV=4,0.01,,,,,
Serine/threonine-protein kinase DCLK1 OS=Rattus norvegicus OX=10116 GN=Dclk1 PE=1 SV=1,0.01,0.01,0.01,,,
N-terminal EF-hand calcium-binding protein 1 OS=Rattus norvegicus OX=10116 GN=Necab1 PE=1 SV=1,0.01,0.01,0.01,0.323,0.01,100
Xaa-Pro aminopeptidase 1 OS=Rattus norvegicus OX=10116 GN=Xpnpep1 PE=1 SV=1,,,,,,
Large ribosomal subunit protein uL3 OS=Rattus norvegicus OX=10116 GN=Rpl3 PE=1 SV=3,0.079,0.089,0.01,100,,100
Serine/threonine-protein phosphatase 5 OS=Rattus norvegicus OX=10116 GN=Ppp5c PE=1 SV=1,0.01,0.01,1,0.418,1,1
Calcium/calmodulin-dependent protein kinase kinase 1 OS=Rattus norvegicus OX=10116 GN=Camkk1 PE=1 SV=1,,,,,,
Inter-alpha-trypsin inhibitor heavy chain H3 OS=Rattus norvegicus OX=10116 GN=Itih3 PE=2 SV=1,1.454,1.006,0.229,12.032,1,8.168
"Electron transfer flavoprotein subunit alpha, mitochondrial OS=Rattus norvegicus OX=10116 GN=Etfa PE=1 SV=4",0.153,0.199,0.375,0.41,0.552,0.742
Receptor-type tyrosine-protein phosphatase zeta OS=Rattus norvegicus OX=10116 GN=Ptprz1 PE=1 SV=1,0.354,0.768,1.06,0.286,0.904,0.489
"Solute carrier family 2, facilitated glucose transporter member 1 OS=Rattus norvegicus OX=10116 GN=Slc2a1 PE=1 SV=1",0.083,1,0.01,5.158,0.01,100
Epsin-3 OS=Rattus norvegicus OX=10116 GN=Epn3 PE=1 SV=1,0.01,0.01,0.01,0.01,0.01,
Flotillin-1 OS=Rattus norvegicus OX=10116 GN=Flot1 PE=2 SV=2,0.447,4.938,1,100,100,6.96
BDNF/NT-3 growth factors receptor OS=Rattus norvegicus OX=10116 GN=Ntrk2 PE=1 SV=1,,,,,,
NADH-ubiquinone oxidoreductase chain 5 OS=Rattus norvegicus OX=10116 GN=Mt-nd5 PE=3 SV=3,0.316,0.072,0.134,0.01,1,0.01
Cytoplasmic aconitate hydratase OS=Rattus norvegicus OX=10116 GN=Aco1 PE=1 SV=1,,,,,,
Striatin OS=Rattus norvegicus OX=10116 GN=Strn PE=1 SV=1,,,,,,
"Medium-chain acyl-CoA ligase ACSF2, mitochondrial OS=Rattus norvegicus OX=10116 GN=Acsf2 PE=2 SV=1",,,,,,
Neuroligin-1 OS=Rattus norvegicus OX=10116 GN=Nlgn1 PE=1 SV=1,,,,,,
Phosphofurin acidic cluster sorting protein 1 OS=Rattus norvegicus OX=10116 GN=Pacs1 PE=1 SV=1,0.01,0.01,1,0.01,1,0.01
Synaptosomal-associated protein 47 OS=Rattus norvegicus OX=10116 GN=Snap47 PE=2 SV=1,7.158,1.876,1.247,35.093,22.881,1.121
"Magnesium transporter MRS2 homolog, mitochondrial OS=Rattus norvegicus OX=10116 GN=Mrs2 PE=2 SV=1",0.127,0.148,0.421,0.39,0.573,0.68
"Serine--tRNA ligase, cytoplasmic OS=Rattus norvegicus OX=10116 GN=Sars1 PE=1 SV=3",0.214,0.432,1,0.206,1,1
Heterogeneous nuclear ribonucleoprotein Q OS=Rattus norvegicus OX=10116 GN=Syncrip PE=2 SV=1,0.261,1.416,1,0.277,1,1
"Spectrin beta chain, non-erythrocytic 2 OS=Rattus norvegicus OX=10116 GN=Sptbn2 PE=1 SV=2",0.01,0.01,0.01,,,
Sterol carrier protein 2 OS=Rattus norvegicus OX=10116 GN=Scp2 PE=1 SV=3,0.522,0.933,1,0.01,1,0.01
Collagen alpha-2(I) chain OS=Rattus norvegicus OX=10116 GN=Col1a2 PE=1 SV=3,0.01,,,,,
Cytoplasmic dynein 1 intermediate chain 1 OS=Rattus norvegicus OX=10116 GN=Dync1i1 PE=1 SV=1,,,,,,
Tripeptidyl-peptidase 2 OS=Rattus norvegicus OX=10116 GN=Tpp2 PE=2 SV=3,0.01,0.01,1,,1,1
Tripartite motif-containing protein 3 OS=Rattus norvegicus OX=10116 GN=Trim3 PE=1 SV=1,0.24,0.684,0.828,0.912,0.881,1.036
Sodium/potassium/calcium exchanger 2 OS=Rattus norvegicus OX=10116 GN=Slc24a2 PE=1 SV=1,0.269,0.187,0.01,1.46,0.01,100
NADPH--cytochrome P450 reductase OS=Rattus norvegicus OX=10116 GN=Por PE=1 SV=3,,,,,,
Calcium-dependent secretion activator 1 OS=Rattus norvegicus OX=10116 GN=Cadps PE=1 SV=1,,,,,,
Amyloid-beta precursor protein OS=Rattus norvegicus OX=10116 GN=App PE=1 SV=2,6.818,0.931,0.01,0.273,0.01,100
Long-chain-fatty-acid--CoA ligase 6 OS=Rattus norvegicus OX=10116 GN=Acsl6 PE=1 SV=1,0.01,,,0.01,0.01,
Basal cell adhesion molecule OS=Rattus norvegicus OX=10116 GN=Bcam PE=2 SV=1,1.627,0.679,0.951,1.037,1.278,0.811
Reticulon-3 OS=Rattus norvegicus OX=10116 GN=Rtn3 PE=1 SV=1,0.582,1.21,0.98,0.569,0.603,0.944
"Dynamin-like 120 kDa protein, mitochondrial OS=Rattus norvegicus OX=10116 GN=Opa1 PE=1 SV=1",0.01,0.01,0.01,0.01,0.01,
Microtubule-associated protein 4 OS=Rattus norvegicus OX=10116 GN=Map4 PE=1 SV=1,0.339,100,100,0.01,0.142,0.01
Sodium/calcium exchanger 1 OS=Rattus norvegicus OX=10116 GN=Slc8a1 PE=1 SV=3,,,,,,
Neurexin-3 OS=Rattus norvegicus OX=10116 GN=Nrxn3 PE=1 SV=1,0.01,,,0.01,0.01,
Versican core protein (Fragment) OS=Rattus norvegicus OX=10116 GN=Vcan PE=2 SV=2,0.363,0.261,0.542,0.372,0.892,0.417
Ribosome biogenesis protein BOP1 OS=Rattus norvegicus OX=10116 GN=Bop1 PE=1 SV=1,0.098,0.12,2.206,1.318,2.972,0.443
Misshapen-like kinase 1 OS=Rattus norvegicus OX=10116 GN=Mink1 PE=1 SV=2,0.05,0.541,1,0.247,1,1
Protein bassoon OS=Rattus norvegicus OX=10116 GN=Bsn PE=1 SV=3,0.617,3.418,1,3.373,1,5.54
Metabotropic glycine receptor OS=Rattus norvegicus OX=10116 GN=Gpr158 PE=1 SV=1,0.854,0.442,0.869,1.086,1.407,0.772
"NACHT, LRR and PYD domains-containing protein 1a allele 1 OS=Rattus norvegicus OX=10116 GN=Nlrp1a PE=1 SV=1",0.592,0.701,0.161,0.937,0.149,6.275
Ankyrin-3 OS=Rattus norvegicus OX=10116 GN=Ank3 PE=1 SV=3,0.048,0.531,1,0.01,0.177,0.01
